molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"thca_tcga_pub_linear_CNA","thca_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 504 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"thca_tcga_pub_methylation_hm450","thca_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"thca_tcga_pub_mutations","thca_tcga_pub"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"thym_tcga_rppa","thym_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"thym_tcga_rppa_Zscores","thym_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 123 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"thym_tcga_gistic","thym_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 122 thym cases (RNA Seq V2 RSEM).",false,"thym_tcga_rna_seq_v2_mrna","thym_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"thym_tcga_rna_seq_v2_mrna_median_Zscores","thym_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"thym_tcga_linear_CNA","thym_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 126 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"thym_tcga_methylation_hm450","thym_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: THYM/20160128/gdac.broadinstitute.org_THYM.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"thym_tcga_mutations","thym_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"thym_tcga_pan_can_atlas_2018_gistic","thym_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"thym_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","thym_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"thym_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","thym_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"thym_tcga_pan_can_atlas_2018_log2CNA","thym_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"thym_tcga_pan_can_atlas_2018_mutations","thym_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"thyroid_mskcc_2016_gistic","thyroid_mskcc_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from NG sequencing.",true,"thyroid_mskcc_2016_mutations","thyroid_mskcc_2016"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutation data from whole exome sequencing of 16 clear cell endometrial cancer samples.",true,"uccc_nih_2017_mutations","uccc_nih_2017"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Putative copy-number calls derived from IMPACT341 data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ucec_msk_2018_cna","ucec_msk_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from MSK-IMPACT .",true,"ucec_msk_2018_mutations","ucec_msk_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"ucec_tcga_rppa","ucec_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"ucec_tcga_rppa_Zscores","ucec_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 539 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ucec_tcga_gistic","ucec_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 54 ucec cases (Agilent microarray).",false,"ucec_tcga_mrna","ucec_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ucec_tcga_mrna_median_Zscores","ucec_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 201 ucec cases (RNA Seq V2 RSEM).",false,"ucec_tcga_rna_seq_v2_mrna","ucec_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ucec_tcga_rna_seq_v2_mrna_median_Zscores","ucec_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"ucec_tcga_linear_CNA","ucec_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 118 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"ucec_tcga_methylation_hm27","ucec_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 478 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"ucec_tcga_methylation_hm450","ucec_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: UCEC/20160128/gdac.broadinstitute.org_UCEC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"ucec_tcga_mutations","ucec_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ucec_tcga_pan_can_atlas_2018_gistic","ucec_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"ucec_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","ucec_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"ucec_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","ucec_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"ucec_tcga_pan_can_atlas_2018_log2CNA","ucec_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"ucec_tcga_pan_can_atlas_2018_mutations","ucec_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"ucec_tcga_pub_rppa","ucec_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 363 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ucec_tcga_pub_gistic","ucec_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17190 genes in 54 ucec cases (Agilent microarray).",false,"ucec_tcga_pub_mrna","ucec_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ucec_tcga_pub_mrna_median_Zscores","ucec_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 333 ucec cases (RNA Seq V2 RSEM).",false,"ucec_tcga_pub_rna_seq_v2_mrna","ucec_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ucec_tcga_pub_rna_seq_v2_mrna_median_Zscores","ucec_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"ucec_tcga_pub_linear_CNA","ucec_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 117 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"ucec_tcga_pub_methylation_hm27","ucec_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"ucec_tcga_pub_mutations","ucec_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 22 uterine carcinosarcoma, or malignant mixed Mullerian tumor patients.",true,"ucs_jhu_2014_mutations","ucs_jhu_2014"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"ucs_tcga_rppa","ucs_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"ucs_tcga_rppa_Zscores","ucs_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 56 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ucs_tcga_gistic","ucs_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 57 ucs cases (RNA Seq V2 RSEM).",false,"ucs_tcga_rna_seq_v2_mrna","ucs_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"ucs_tcga_rna_seq_v2_mrna_median_Zscores","ucs_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"ucs_tcga_linear_CNA","ucs_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 57 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"ucs_tcga_methylation_hm450","ucs_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: UCS/20160128/gdac.broadinstitute.org_UCS.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"ucs_tcga_mutations","ucs_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"ucs_tcga_pan_can_atlas_2018_gistic","ucs_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"ucs_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","ucs_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"ucs_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","ucs_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"ucs_tcga_pan_can_atlas_2018_log2CNA","ucs_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"ucs_tcga_pan_can_atlas_2018_mutations","ucs_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"urcc_mskcc_2016_cna","urcc_mskcc_2016"
"MUTATION_EXTENDED","MAF","Mutations","Mutation status from targeted sequencing (IMPACT assay).",true,"urcc_mskcc_2016_mutations","urcc_mskcc_2016"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (IMPACT)","Putative copy-number calls derived from IMPACT data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"utuc_mskcc_2013_cna","utuc_mskcc_2013"
"MUTATION_EXTENDED","MAF","Mutations","Mutation status from targeted sequencing (IMPACT assay).",true,"utuc_mskcc_2013_mutations","utuc_mskcc_2013"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 80 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"uvm_tcga_gistic","uvm_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 80 um cases (RNA Seq V2 RSEM).",false,"uvm_tcga_rna_seq_v2_mrna","uvm_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"uvm_tcga_rna_seq_v2_mrna_median_Zscores","uvm_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"uvm_tcga_linear_CNA","uvm_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 80 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"uvm_tcga_methylation_hm450","uvm_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: UVM/20160128/gdac.broadinstitute.org_UVM.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"uvm_tcga_mutations","uvm_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"uvm_tcga_pan_can_atlas_2018_gistic","uvm_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"uvm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","uvm_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"uvm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","uvm_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"uvm_tcga_pan_can_atlas_2018_log2CNA","uvm_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"uvm_tcga_pan_can_atlas_2018_mutations","uvm_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 129 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"wt_target_2018_pub_gistic","wt_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA-Seq RPKM)","Expression levels for 26136 genes in 136 wt cases (RNA-Seq RPKM).",false,"wt_target_2018_pub_rna_seq_mrna","wt_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq RPKM)","mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"wt_target_2018_pub_rna_seq_mrna_median_Zscores","wt_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","mRNA expression levels (Affymetrix microarray)",false,"wt_target_2018_pub_mrna","wt_target_2018_pub"
